"YR_MTH","VEHICLE_CLASS_CODE","CODE","NO_VALID_LEARNER","NO_VALID_FULL_LIC","NO_EXP_LEARNER","NO_EXP_NOVER_3YR","NO_EXP_OVER_3YR"
"201502","10","4",3487,188956,52803,4771,55499
"201502","31","15",0,0,0,0,4
"201502","9","5",3490,183985,53116,4589,51696
"201502","32","17",151,22988,1116,249,2139
"201502","33","20",1483,44336,52366,397,2828
"201502","30","10",5926,136271,165741,2029,18275
"201503","3","6",0,218216,0,4897,58318
"201503","30","10",5957,136476,166050,2048,18321
"201503","7","16",613,31573,4421,41,3828
"201503","33","20",1425,44385,52460,407,2831
"201503","32","17",144,23076,1121,250,2141
"201503","31","15",0,0,0,0,4
"201503","4","9",5956,136399,165922,1839,14079
"201503","9","5",3519,184138,53275,4604,51806
"201503","29","19",7406,102745,201453,3600,42368
"201503","2","3",5311,266354,75196,7782,67700
"201503","28","18",4967,191761,112982,3984,46261
"201503","27","2",49836,1402367,499368,36280,590116
"201503","6","21",0,12442,0,72,409
"201503","10","4",3517,189108,52963,4782,55614
"201503","34","22",5284,266349,65291,7781,41620
"201503","1","1",59483,2088433,374012,56999,684056
"201504","9","5",3604,184263,53418,4623,51894
"201504","28","18",5136,191920,113139,3992,46333
"201504","1","1",58563,2094543,374657,56922,685058
"201504","2","3",5419,267179,75285,7870,67831
"201504","29","19",7534,102795,201755,3602,42439
"201504","32","17",151,23142,1125,249,2147
"201504","4","9",6089,136572,166164,1849,14117
"201504","33","20",1404,44434,52540,406,2840
"201504","27","2",49162,1404818,500298,36137,590754
"201504","30","10",6093,136642,166291,2059,18365
"201504","10","4",3602,189230,53106,4798,55706
"201504","7","16",596,31600,4459,41,3828
"201504","6","21",0,12505,0,68,410
"201504","3","6",0,218299,0,4916,58404
"201504","31","15",0,0,0,0,4
"201504","34","22",5390,267174,65382,7869,41752
"201505","3","6",0,218453,0,4919,58514
"201505","28","18",5290,192004,113360,3995,46426
"201505","29","19",7656,102804,202099,3602,42526
"201505","33","20",1383,44474,52600,403,2845
"201505","9","5",3693,184391,53556,4636,51999
"201505","1","1",58009,2100413,375616,56949,686107
"201505","4","9",6215,136764,166399,1859,14153
"201505","27","2",48748,1407075,501600,36016,591431
"201505","10","4",3689,189354,53244,4813,55813
"201505","34","22",5409,268056,65511,7937,41891
"201505","31","15",0,0,0,0,4
"201505","6","21",0,12548,0,69,411
"201505","32","17",147,23205,1131,251,2152
"201505","2","3",5435,268061,75417,7938,67968
"201505","30","10",6218,136835,166522,2061,18408
"201505","7","16",647,31611,4448,43,3828
"201506","9","5",3658,184526,53738,4665,52085
"201506","4","9",6172,136977,166697,1881,14187
"201506","2","3",5537,269169,75527,8024,68083
"201506","3","6",0,218617,0,4945,58600
"201506","27","2",48661,1409900,503019,36018,592011
"201506","34","22",5512,269164,65620,8023,42010
"201506","1","1",58050,2107602,376559,57152,686995
"201506","31","15",0,0,0,0,4
"201506","33","20",1347,44522,52682,402,2850
"201506","10","4",3629,189515,53425,4844,55905
"201506","6","21",0,12592,0,73,411
"201506","30","10",6174,137043,166816,2086,18445
"201506","28","18",5285,192154,113594,4023,46498
"201506","29","19",7610,102840,202499,3627,42590
"201506","7","16",606,31645,4472,45,3828
"201506","32","17",146,23278,1138,250,2157
"201507","4","9",6048,137161,166996,1902,14222
"201507","7","16",593,31708,4487,41,3828
"201507","1","1",58327,2114689,377916,57091,688040
"201507","34","22",5512,270194,65784,8060,42145
"201507","27","2",48654,1412662,504909,35841,592678
"201507","3","6",0,218877,0,4959,58697
"201507","29","19",7501,102852,202875,3648,42662
"201507","30","10",6050,137221,167115,2105,18487
"201507","32","17",151,23344,1148,251,2165
"201507","31","15",0,0,0,0,4
"201507","2","3",5539,270199,75689,8061,68216
"201507","10","4",3526,189646,53623,4871,56005
