PDS,PSG,DRI,T_TFC_ACC,DATE,SOA_FATAL,SOA_SERIOUS,SOA_SLIGHT,VCT_VEHICLE,VCT_PDS,VCT_OBJ,VCT_NONCOL,NO_ISSUE_WARN_8_14PT,NO_ISSUE_SINCE_1984,NO_SUMMON_15PT_MORE,NO_SUMMON_SINCE_1984,NO_DRI_INCUR_PT_5YR,NO_VALID_LIC_TYPE1,NO_VALID_LIC_TYPE2,NO_VALID_LIC_TYPE3,NO_VALID_LIC_TYPE4,NO_NOVER_3YR_EXP_LIC_TYPE1,NO_NOVER_3YR_EXP_LIC_TYPE2,NO_NOVER_3YR_EXP_LIC_TYPE3,NO_OVER_3YR_EXP_LIC_TYPE1,NO_OVER_3YR_EXP_LIC_TYPE2,NO_OVER_3YR_EXP_LIC_TYPE3,ACCIDENT_RATE
217,489,732,1143,2019-02-01,6,154,983,566,205,53,319,3358,1376755,204,116273,528872,2295372.0,1649.0,48281.0,94130.0,172283.0,397.0,147186.0,745846.0,4608.0,249730.0,0.16855270994639668
273,562,905,1365,2019-03-01,7,184,1174,716,259,74,316,4251,1381006,204,116477,529969,2298510.0,1643.0,47607.0,93607.0,176102.0,409.0,147339.0,747372.0,4614.0,253756.0,0.1684309574217831
221,491,829,1245,2019-04-01,13,138,1094,639,210,75,321,3622,1384628,186,116663,530274,2302229.0,1658.0,47693.0,93559.0,178727.0,388.0,147428.0,748680.0,4620.0,257210.0,0.17642186637217008
291,549,910,1416,2019-05-01,5,171,1240,731,264,64,357,4348,1388976,237,116900,530595,2307216.0,1662.0,48231.0,93372.0,180781.0,376.0,147502.0,750142.0,4622.0,260751.0,0.16812327506899724
211,459,975,1367,2019-06-01,8,153,1206,737,201,69,360,3311,1392287,200,117100,529883,2309773.0,1655.0,48081.0,92209.0,183968.0,384.0,147169.0,751777.0,4624.0,264786.0,0.22259136212624583
241,585,984,1359,2019-07-01,5,162,1192,753,225,68,313,2978,1395265,189,117289,529266,2313664.0,1659.0,47731.0,91610.0,187247.0,377.0,147696.0,753474.0,4631.0,268615.0,0.25285426460711885
219,527,953,1314,2019-08-01,10,155,1149,715,208,89,302,3574,1398839,199,117488,528207,2316976.0,1669.0,47593.0,91361.0,190358.0,372.0,148466.0,755465.0,4634.0,272240.0,0.20005595970900952
233,491,931,1329,2019-09-01,9,141,1179,738,220,68,303,2717,1401556,160,117648,526791,2319906.0,1686.0,48155.0,92905.0,193273.0,353.0,148348.0,757467.0,4639.0,275901.0,0.2716231137283769
229,460,990,1364,2019-10-01,10,155,1199,726,217,76,345,3268,1404824,198,117846,525851,2322026.0,1688.0,48404.0,93541.0,196117.0,348.0,148542.0,759410.0,4647.0,279195.0,0.22215422276621788
257,460,949,1367,2019-11-01,11,130,1226,705,243,47,372,2837,1407661,168,118014,525424,2324241.0,1681.0,48535.0,93590.0,198902.0,352.0,148846.0,761448.0,4655.0,282985.0,0.24850193866760661
257,551,991,1439,2019-12-01,11,108,1320,742,237,72,388,2759,1410420,133,118147,524813,2326760.0,1675.0,49298.0,95117.0,201749.0,355.0,148240.0,763392.0,4661.0,287434.0,0.26893802102210945
266,524,958,1387,2020-01-01,15,157,1215,705,247,70,365,3366,1413786,166,118313,523441,2327595.0,1666.0,49204.0,94304.0,204874.0,360.0,148320.0,765552.0,4664.0,291163.0,0.20944741532976827
161,283,691,946,2020-02-01,8,109,829,480,153,55,258,2338,1416124,61,118374,522281,2320871.0,1657.0,47682.0,91352.0,211583.0,365.0,147615.0,767271.0,4668.0,294567.0,0.20530367835757057
161,335,944,1202,2020-03-01,8,147,1047,591,150,63,398,3290,1419414,89,118463,524088,2314443.0,1657.0,45902.0,89590.0,218763.0,353.0,147008.0,769459.0,4680.0,298790.0,0.17963525835866262
174,253,756,1026,2020-04-01,5,135,886,475,161,41,349,3539,1422953,121,118584,523792,2311275.0,1651.0,43518.0,88699.0,222744.0,352.0,146624.0,771470.0,4687.0,302922.0,0.13421870584910991
199,374,1008,1299,2020-05-01,10,172,1117,657,189,75,378,4065,1427018,201,118785,525610,2309942.0,1634.0,41325.0,87642.0,225559.0,358.0,145772.0,773722.0,4694.0,307914.0,0.16162361623616237
245,436,1092,1453,2020-06-01,9,167,1277,811,226,65,351,3431,1430449,187,118972,525856,2309454.0,1644.0,42632.0,91731.0,225433.0,348.0,144282.0,778520.0,4697.0,312753.0,0.23637423491693385
185,322,1048,1300,2020-07-01,9,173,1118,699,177,64,360,4058,1434507,190,119162,525985,2311872.0,1641.0,43074.0,94531.0,225099.0,350.0,143849.0,783559.0,4699.0,316945.0,0.17225234105470674
132,288,932,1158,2020-08-01,9,134,1015,600,122,62,374,2770,1436277,152,119314,525093,2308806.0,1608.0,40325.0,92023.0,226248.0,374.0,143625.0,788856.0,4704.0,321496.0,0.21660649819494585
189,378,1053,1346,2020-09-01,4,179,1163,748,187,62,349,3875,1440152,154,119468,525429,2312102.0,1619.0,39424.0,93456.0,225434.0,372.0,143790.0,793734.0,4706.0,325322.0,0.19303225806451613
209,452,1161,1503,2020-10-01,5,202,1296,799,200,48,456,3392,1443544,131,119599,525968,2314471.0,1617.0,40155.0,95640.0,224554.0,375.0,143809.0,798777.0,4707.0,328924.0,0.23555424528301888
200,363,1117,1395,2020-11-01,5,193,1197,742,190,51,412,3878,1447422,199,119798,526405,2317151.0,1640.0,41247.0,98582.0,224029.0,354.0,143649.0,803686.0,4712.0,333040.0,0.19133574007220217
183,296,992,1283,2020-12-01,9,144,1130,673,173,41,396,4007,1451429,205,120003,526483,2314981.0,1646.0,38045.0,95975.0,225163.0,350.0,144364.0,808546.0,4716.0,337008.0,0.1679560768654854
206,346,1088,1365,2021-01-01,7,183,1175,722,189,48,406,3554,1454983,165,120168,528530,2312416.0,1627.0,34646.0,94236.0,226042.0,368.0,144454.0,813550.0,4716.0,340799.0,0.20315137872819358
202,428,1035,1347,2021-02-01,9,186,1152,722,190,48,387,3229,1458212,144,120312,528950,2312332.0,1622.0,34115.0,96252.0,225669.0,362.0,141766.0,818626.0,4720.0,344593.0,0.22359863734902446
208,420,1110,1437,2021-03-01,5,187,1245,750,196,52,439,3902,1462114,181,120493,529253,2315060.0,1618.0,36493.0,100687.0,224239.0,358.0,138828.0,824053.0,4724.0,349136.0,0.1922091235263967
218,428,1140,1471,2021-04-01,6,166,1299,734,203,66,468,3114,1465228,167,120660,529532,2317346.0,1608.0,39620.0,104209.0,221898.0,361.0,136642.0,829364.0,4730.0,352441.0,0.2357096981374438
222,508,1221,1584,2021-05-01,3,174,1407,878,207,63,436,3479,1468707,136,120796,530595,2318158.0,1611.0,42739.0,106096.0,220711.0,357.0,134511.0,834441.0,4733.0,356444.0,0.2523713710836447
220,448,1172,1481,2021-06-01,8,160,1313,833,199,68,381,4074,1472781,189,120985,531704,2320559.0,1602.0,43848.0,104756.0,219794.0,357.0,135041.0,839167.0,4740.0,360426.0,0.20446735395189003
247,474,1109,1497,2021-07-01,7,160,1330,783,229,79,406,3330,1476111,173,121158,532133,2323136.0,1617.0,45022.0,103149.0,218576.0,361.0,135374.0,844019.0,4748.0,364340.0,0.23513513513513515
240,444,1149,1496,2021-08-01,9,124,1363,869,217,61,349,3412,1479523,146,121304,532753,2323609.0,1640.0,49111.0,106600.0,218401.0,357.0,132596.0,848695.0,4754.0,368490.0,0.25468933177022274
242,447,1156,1522,2021-09-01,11,154,1357,881,234,61,346,4357,1483880,182,121486,532530,2324632.0,1641.0,51040.0,106421.0,217330.0,376.0,132110.0,853534.0,4755.0,372018.0,0.20220335092953867
242,490,1084,1489,2021-10-01,12,123,1354,789,232,85,383,3238,1487118,157,121643,532166,2325580.0,1664.0,50923.0,105188.0,217493.0,362.0,132968.0,857769.0,4758.0,375523.0,0.24366893143915996
271,481,1152,1591,2021-11-01,6,121,1464,869,253,62,407,3749,1490867,190,121833,532537,2327896.0,1682.0,50859.0,105025.0,217811.0,351.0,134064.0,861834.0,4762.0,379406.0,0.23179514537209922
297,518,1088,1551,2021-12-01,11,86,1454,811,262,74,404,4225,1495092,221,122054,531434,2329354.0,1691.0,54374.0,108680.0,217336.0,349.0,131734.0,866109.0,4765.0,383095.0,0.19195266272189349
269,407,1078,1448,2022-01-01,3,128,1317,729,247,60,412,3338,1498430,179,122233,531103,2328768.0,1709.0,58159.0,112097.0,217701.0,335.0,128447.0,870069.0,4768.0,386741.0,0.21839424805272617
